number of characters,length of case,case,expected value
11,3,[2. 9. 0.],1331.0
11,3,[2. 9. 1.],1331.0
11,3,[2. 9. 2.],1342.0
11,3,[2. 9. 3.],1331.0
11,3,[2. 9. 4.],1331.0
11,3,[2. 9. 5.],1331.0
11,3,[2. 9. 6.],1331.0
11,3,[2. 9. 7.],1331.0
11,3,[2. 9. 8.],1331.0
11,3,[2. 9. 9.],1331.0
11,3,[ 2.  9. 10.],1331.0
11,3,[ 2. 10.  0.],1331.0
11,3,[ 2. 10.  1.],1331.0
11,3,[ 2. 10.  2.],1342.0
11,3,[ 2. 10.  3.],1331.0
11,3,[ 2. 10.  4.],1331.0
11,3,[ 2. 10.  5.],1331.0
11,3,[ 2. 10.  6.],1331.0
11,3,[ 2. 10.  7.],1331.0
11,3,[ 2. 10.  8.],1331.0
11,3,[ 2. 10.  9.],1331.0
11,3,[ 2. 10. 10.],1331.0
11,3,[3. 0. 0.],1331.0
11,3,[3. 0. 1.],1331.0
11,3,[3. 0. 2.],1331.0
11,3,[3. 0. 3.],1342.0
11,3,[3. 0. 4.],1331.0
11,3,[3. 0. 5.],1331.0
11,3,[3. 0. 6.],1331.0
11,3,[3. 0. 7.],1331.0
11,3,[3. 0. 8.],1331.0
11,3,[3. 0. 9.],1331.0
11,3,[ 3.  0. 10.],1331.0
11,3,[3. 1. 0.],1331.0
11,3,[3. 1. 1.],1331.0
11,3,[3. 1. 2.],1331.0
11,3,[3. 1. 3.],1342.0
11,3,[3. 1. 4.],1331.0
11,3,[3. 1. 5.],1331.0
11,3,[3. 1. 6.],1331.0
11,3,[3. 1. 7.],1331.0
11,3,[3. 1. 8.],1331.0
11,3,[3. 1. 9.],1331.0
11,3,[ 3.  1. 10.],1331.0
11,3,[3. 2. 0.],1331.0
11,3,[3. 2. 1.],1331.0
11,3,[3. 2. 2.],1331.0
11,3,[3. 2. 3.],1342.0
11,3,[3. 2. 4.],1331.0
11,3,[3. 2. 5.],1331.0
11,3,[3. 2. 6.],1331.0
11,3,[3. 2. 7.],1331.0
11,3,[3. 2. 8.],1331.0
11,3,[3. 2. 9.],1331.0
11,3,[ 3.  2. 10.],1331.0
11,3,[3. 3. 0.],1342.0
11,3,[3. 3. 1.],1342.0
11,3,[3. 3. 2.],1342.0
11,3,[3. 3. 3.],1463.0
11,3,[3. 3. 4.],1342.0
