number_of_characters,length_of_case,absorbing_state,expected_value
10,3,[6. 8. 4.],1000
10,3,[6. 8. 5.],1000
10,3,[6. 8. 6.],1010
10,3,[6. 8. 7.],1000
10,3,[6. 8. 8.],1000
10,3,[6. 8. 9.],1000
10,3,[6. 9. 0.],1000
10,3,[6. 9. 1.],1000
10,3,[6. 9. 2.],1000
10,3,[6. 9. 3.],1000
10,3,[6. 9. 4.],1000
10,3,[6. 9. 5.],1000
10,3,[6. 9. 6.],1010
10,3,[6. 9. 7.],1000
10,3,[6. 9. 8.],1000
10,3,[6. 9. 9.],1000
10,3,[7. 0. 0.],1000
10,3,[7. 0. 1.],1000
10,3,[7. 0. 2.],1000
10,3,[7. 0. 3.],1000
10,3,[7. 0. 4.],1000
10,3,[7. 0. 5.],1000
10,3,[7. 0. 6.],1000
10,3,[7. 0. 7.],1010
10,3,[7. 0. 8.],1000
10,3,[7. 0. 9.],1000
10,3,[7. 1. 0.],1000
10,3,[7. 1. 1.],1000
10,3,[7. 1. 2.],1000
10,3,[7. 1. 3.],1000
10,3,[7. 1. 4.],1000
10,3,[7. 1. 5.],1000
10,3,[7. 1. 6.],1000
10,3,[7. 1. 7.],1010
10,3,[7. 1. 8.],1000
10,3,[7. 1. 9.],1000
10,3,[7. 2. 0.],1000
10,3,[7. 2. 1.],1000
10,3,[7. 2. 2.],1000
10,3,[7. 2. 3.],1000
10,3,[7. 2. 4.],1000
10,3,[7. 2. 5.],1000
10,3,[7. 2. 6.],1000
10,3,[7. 2. 7.],1010
10,3,[7. 2. 8.],1000
10,3,[7. 2. 9.],1000
10,3,[7. 3. 0.],1000
10,3,[7. 3. 1.],1000
10,3,[7. 3. 2.],1000
10,3,[7. 3. 3.],1000
10,3,[7. 3. 4.],1000
10,3,[7. 3. 5.],1000
10,3,[7. 3. 6.],1000
10,3,[7. 3. 7.],1010
10,3,[7. 3. 8.],1000
